Drug_Name,Indication
Aluminum sulfate,"Solutions containing 5 to 10% aluminum sulfate have been used as local applications to ulcers and to arrest foul discharges from mucous surfaces. Aluminum sulfate is also used in the preparation of aluminum acetate ear drops [L2149]. It is often purchased over the counter and is available in solid stick or powder form for minor cuts and abrasions after shaving [L2157], [L2164]. Aluminum sulfate is also used as an adjuvant in vaccines [L2158]."
Aluminum zirconium octachlorohydrex gly,"Aluminum-based antiperspirant preparations intended for the reduction of normal underarm perspiration, and indicated for use in hyperhidrosis [L2708]."
Alverine,Used to relieve cramps or spasms of the stomach and intestines. It is also useful in treating irritable bowel syndrome (IBS) and similar conditions. It can also be used to help relieve period pain. Alverine citrate is also under investigation to increase the cytotoxic effects of the proteasome inhibitor MG132 on breast cancer cells.
Alvimopan,Used to accelerate the time to upper and lower gastrointestinal recovery following partial large or small bowel resection surgery with primary anastomosis. Also investigated for use in the treatment of pain (acute or chronic).
Amantadine,"For the chemoprophylaxis, prophylaxis, and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Also for the treatment of parkinsonism and drug-induced extrapyramidal reactions."
Ambenonium,Ambenonium is used to treat muscle weakness due to muscle disease (myasthenia gravis).
Ambrisentan,"Ambrisentan is indicated for treatment of idiopathic (‘primary’) pulmonary arterial hypertension (IPAH) and pulmonary arterial hypertension (PAH) associated with connective tissue disease in patients with WHO functional class II or III symptoms. In the United States of America, ambrisentan is also indicated in combination with tadalafil to reduce the risks of disease progression and hospitalization for worsening PAH, and to improve exercise ability."
Ambrosia artemisiifolia pollen,"Ambrosia artemisiifolia pollen is an allergen extract indicated as immunotherapy for the treatment of short ragweed pollen-induced allergic rhinitis, with or without conjunctivitis, confirmed by positive skin test or in vitro testing for pollen-specific IgE antibodies for short ragweed pollen. It is approved for use in persons five through 65 years of age. This allergen extract is not indicated for the immediate relief of allergic symptoms.[L41205]"
Ambroxol,Ambroxol is indicated for secretolytic therapy in bronchoplmonary disease with abnormal mucus secretion and transport. It allows the mucus to be more easily cleared and ease a patient's breathing.
Amcinonide,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
Amifampridine,"Amifampridine is indicated for the symptomatic treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults and pediatric patients.[L43312] Nevertheless, at the current time only the Firdapse brand of amifampridine is indicated for the treatment of LEMS in both adult and pediatric patients, while the Ruzurgi brand of amifampridine is indicated for the treatment of LEMS only in patients aged 6 to less than 17 years.[L43312,L36425]"
Amifostine,For reduction in the cumulative renal toxicity in patients with ovarian cancer (using cisplatin) and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.
Amikacin,"The amikacin sulfate injection is indicated in the short-term treatment of serious bacterial infections due to susceptible strains of gram-negative bacteria, including Pseudomonas species, Escherichia coli, species of indole-positive and indole-negative Proteus, Providencia species, Klebsiella-Enterobacter-Serratia species, as well as Acinetobacter (Mima-Herellea) species.[F1954] Clinical studies have shown amikacin sulfate injection to be effective in bacterial septicemia (including neonatal sepsis); in serious infections of the respiratory tract, bones and joints, central nervous system (including meningitis) and skin and soft tissue; intra-abdominal infections (including peritonitis); and in burns and postoperative infections (including post-vascular surgery).[F1954] Clinical studies have shown amikacin also to be effective in serious, complicated, and recurrent urinary tract infections due to the above organisms. Aminoglycosides, including amikacin, are not indicated in uncomplicated first-time episodes of urinary tract infections unless the causative organisms are not susceptible to antibiotics which are less toxic.[F1954] In September 2018, a new indication with a new dosage route was approved for this drug. Amikacin liposome inhalation suspension was approved for the treatment of lung disease caused by a group of bacteria, Mycobacterium avium complex (MAC) in a limited population of patients with the disease who do not respond to conventional treatment (refractory disease).[L4673] This indication is approved under accelerated approval based on achieving sputum culture conversion (defined as 3 consecutive negative monthly sputum cultures) by Month 6 of treatment. Clinical benefit has not yet been established.[Label] **Important notes regarding Staphylococcus and Sensitivity testing:** Staphylococcus aureus, including methicillin-resistant strains, is the principal Gram-positive organism sensitive to amikacin. The use of amikacin in the treatment of staphylococcal infections should be restricted only to second-line therapy, and should be limited to only those patients suffering from severe infections caused by susceptible strains of staphylococcus species who have failed to show sensitivity to other available antibiotics.[F1949] Bacteriologic studies should be performed to identify causative organisms and their susceptibilities to amikacin. Amikacin may be used as initial therapy in suspected gram-negative infections and therapy may be initiated before obtaining the results of susceptibility testing.[Label,F1949,F1954]"
Amiloride,For use as adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension.
Amiloxate,Indicated as an active sunscreen agent.
Aminocaproic acid,For use in the treatment of excessive postoperative bleeding.
Aminoglutethimide,"For the suppression of adrenal function in selected patients with Cushing's syndrome, malignant neoplasm of the female breast, and carcinoma in situ of the breast."
Aminohippuric acid,Used to measure effective renal plasma flow (ERPF) and to determine the functional capacity of the tubular excretory mechanism.
Aminolevulinic acid,"As a topical gel, aminolevulinic acid (ALA) is indicated for lesion-directed and field-directed treatment of actinic keratoses (AKs) of mild-to-moderate severity on the face and scalp in combination with photodynamic therapy (PDT) using BF-RhodoLED® lamp, a narrowband, red light illumination source.[L40343] As a topical solution, ALA can also be used for the same indication mentioned previously in addition to AKs of the upper extremities, but in conjunction with blue light illumination using the BLU-U Blue Light Photodynamic Therapy Illuminator.[L40348] Finally, ALA is also available as an oral solution to be used as an adjunct for the visualization of glioma during surgery.[L40353]"
Aminophenazone,"Formerly widely used as an antipyretic and analgesic in rheumatism, neuritis, and common colds. Currently used to measure total body water."
Aminophylline,"For the treatment of bronchospasm due to asthma, emphysema and chronic bronchitis."
Aminosalicylic acid,For the treatment of tuberculosis
Amiodarone,"The FDA approved indications for amiodarone are recurrent ventricular fibrillation (VF) and recurrent hemodynamically unstable ventricular tachycardia (VT). The FDA emphasizes that this drug should only be given in these conditions when they are clinically documented and have not responded to normal therapeutic doses of other antiarrhythmic agents, or when other drugs are not tolerated by the patient.[L3561] Off-label indications include atrial fibrillation and supraventricular tachycardia.[A189666,A189720,A189723,L11286]"
